[Epoch 47] Train=0.939 Val=0.792 Loss=1.392 Time=15.66 
[Epoch 48] Train=0.974 Val=0.750 Loss=0.741 Time=13.71 
[Epoch 49] Train=0.960 Val=0.700 Loss=1.032 Time=17.65 
[Epoch 50] Train=0.950 Val=0.775 Loss=1.113 Time=17.64 
[Epoch 51] Train=0.952 Val=0.775 Loss=0.822 Time=14.76 
[Epoch 52] Train=0.945 Val=0.825 Loss=1.030 Time=16.11 
[Epoch 53] Train=0.950 Val=0.675 Loss=1.451 Time=17.37 
[Epoch 54] Train=0.956 Val=0.675 Loss=0.886 Time=14.45 
[Epoch 55] Train=0.957 Val=0.729 Loss=1.020 Time=16.38 
[Epoch 56] Train=0.938 Val=0.725 Loss=1.305 Time=17.61 
[Epoch 57] Train=0.952 Val=0.725 Loss=1.189 Time=17.94 
[Epoch 58] Train=0.964 Val=0.675 Loss=0.954 Time=14.33 
[Epoch 59] Train=0.978 Val=0.675 Loss=0.533 Time=14.90 
[Epoch 60] Train=0.963 Val=0.775 Loss=0.857 Time=18.56 
[Epoch 61] Train=0.979 Val=0.800 Loss=0.517 Time=17.48 
[Epoch 62] Train=0.978 Val=0.800 Loss=0.474 Time=15.13 
[Epoch 63] Train=0.950 Val=0.875 Loss=1.121 Time=16.54 0.8312499999999999
[Epoch 64] Train=0.978 Val=0.800 Loss=0.451 Time=21.60 
[Epoch 65] Train=0.952 Val=0.575 Loss=0.944 Time=18.42 
[Epoch 66] Train=0.975 Val=0.700 Loss=0.706 Time=20.02 
[Epoch 67] Train=0.971 Val=0.800 Loss=0.686 Time=14.55 
[Epoch 68] Train=0.978 Val=0.775 Loss=0.440 Time=17.32 
[Epoch 69] Train=0.946 Val=0.800 Loss=1.482 Time=16.38 
[Epoch 70] Train=0.967 Val=0.775 Loss=0.735 Time=17.00 
[Epoch 71] Train=0.982 Val=0.917 Loss=0.666 Time=13.84 0.900297619047619
[Epoch 72] Train=0.982 Val=0.800 Loss=0.529 Time=16.09 
[Epoch 73] Train=0.963 Val=0.825 Loss=0.772 Time=15.53 
[Epoch 74] Train=0.968 Val=0.725 Loss=1.096 Time=14.42 
[Epoch 75] Train=0.989 Val=0.750 Loss=0.355 Time=15.84 
[Epoch 76] Train=0.971 Val=0.750 Loss=0.618 Time=16.43 
[Epoch 77] Train=0.986 Val=0.675 Loss=0.325 Time=13.74 
[Epoch 78] Train=0.974 Val=0.625 Loss=0.748 Time=17.98 
[Epoch 79] Train=0.971 Val=0.792 Loss=0.626 Time=15.74 
[Epoch 80] Train=0.956 Val=0.875 Loss=1.187 Time=22.43 0.8363970588235294
[Epoch 81] Train=0.971 Val=0.800 Loss=0.703 Time=12.47 
[Epoch 82] Train=0.979 Val=0.800 Loss=0.633 Time=15.71 
[Epoch 83] Train=0.960 Val=0.725 Loss=1.044 Time=17.03 
[Epoch 84] Train=0.974 Val=0.675 Loss=0.748 Time=17.41 
[Epoch 85] Train=0.968 Val=0.800 Loss=1.258 Time=16.51 
[Epoch 86] Train=0.974 Val=0.775 Loss=0.593 Time=16.36 
[Epoch 87] Train=0.982 Val=0.604 Loss=0.824 Time=14.89 
[Epoch 88] Train=0.978 Val=0.675 Loss=0.604 Time=14.81 
[Epoch 89] Train=0.996 Val=0.775 Loss=0.221 Time=16.91 
[Epoch 90] Train=0.986 Val=0.775 Loss=0.387 Time=19.17 
[Epoch 91] Train=0.993 Val=0.850 Loss=0.285 Time=17.27 0.84375
[Epoch 92] Train=0.993 Val=0.750 Loss=0.310 Time=15.75 
[Epoch 93] Train=0.979 Val=0.725 Loss=0.519 Time=15.55 
[Epoch 94] Train=0.963 Val=0.725 Loss=1.299 Time=16.49 
[Epoch 95] Train=0.989 Val=0.792 Loss=0.414 Time=17.36 
[Epoch 96] Train=0.974 Val=0.800 Loss=0.588 Time=13.23 
[Epoch 97] Train=0.985 Val=0.850 Loss=0.494 Time=16.76 0.8375
[Epoch 98] Train=0.982 Val=0.800 Loss=0.539 Time=13.26 
[Epoch 99] Train=0.982 Val=0.825 Loss=0.384 Time=17.53 0.8098345588235293
[Epoch 100] Train=0.982 Val=0.825 Loss=0.703 Time=17.81 0.8098345588235293
[Epoch 101] Train=0.989 Val=0.800 Loss=0.386 Time=13.32 
[Epoch 102] Train=0.993 Val=0.800 Loss=0.259 Time=13.94 
[Epoch 103] Train=0.975 Val=0.854 Loss=0.558 Time=18.71 0.8328125
[Epoch 104] Train=0.982 Val=0.800 Loss=0.582 Time=15.93 
